sample_id,num_raters,mean_raw_reward,std_raw_reward,mean_participant_norm_score,std_participant_norm_score,groove_quality_mean,coherence_mean,variety_mean,reward_01
transformer_sample_10,10,1.7933333333333334,0.30258148581093913,0.5624521997840863,0.7316778794556997,4.3,3.2,3.8,1.0
transformer_sample_2,10,1.7600000000000002,0.26331223544175336,0.40390090169486914,0.4948652747974131,4.5,3.6,2.1,0.8686930370068845
transformer_sample_4,10,1.7399999999999998,0.45563684911517527,0.39879714938704625,0.8629836752848918,4.1,4.0,3.6,0.8644662774439813
transformer_sample_8,10,1.7266666666666666,0.363385996862908,0.34065916531230356,0.6338220131605191,4.1,3.8,3.5,0.8163183138801575
transformer_sample_9,10,1.69,0.4934259172383116,0.2237882486783948,0.9764670850697794,4.0,3.5,3.6,0.7195296700130797
transformer_sample_5,10,1.61,0.1812507982102475,-0.08756599051414823,0.9732964966883743,4.0,3.3,2.5,0.4616763439532707
transformer_sample_3,10,1.5433333333333334,0.4866235394386532,-0.29261914913007653,1.1177022038186792,3.7,3.7,2.8,0.29185807166859706
transformer_sample_7,10,1.5066666666666668,0.2329626685507179,-0.4504510416857602,0.49488704494818925,3.6,3.6,2.8,0.1611468966438372
transformer_sample_6,10,1.5033333333333334,0.24008743263370114,-0.45392784649702883,1.368477819163029,3.5,4.1,3.0,0.15826752141203906
transformer_sample_1,10,1.46,0.22043727586910658,-0.6450336370296865,0.9440178304720418,3.5,3.2,2.8,0.0
